Load times / 1 megabytes (240924+)

		VIC20	C64	C264	C128	| Blocks
LD1:						|
  254+ChkS	11536	9402	6004	7886	| 4129
  254+NChkS	9842	7554	4507	6369	| 4129
  256+ChkS	11531	9397	6015	7881	| 4096
  256+NChkS	9839	7551	4511	6367	| 4096

		VIC20	C64	C264	C128	| Blocks
LD2:						|
  254+ChkS	8776	7072	4576	5882	| 4129
  254+NChkS	7083	5224	3334	4366	| 4129
  256+ChkS	8771	7067	4586	5878	| 4096
  256+NChkS	7079	5220	3328	4364	| 4096

		VIC20	C64	C264	C128	| Blocks
LDFS:						|
  254+ChkS				4883	| 4129
  254+NChkS				3373	| 4129
  256+ChkS				4879	| 4096
  256+NChkS				3369	| 4096

		VIC20	C64	C264	C128	| Blocks
LDPP:						|
  254+ChkS	3548	3615	3482	3021	| 4129
  254+NChkS	1854	1807	2050	1509	| 4129
  256+ChkS	3544	3610	3483	3017	| 4096
  256+NChkS	1850	1803	2050	1505	| 4096

		VIC20	C64	C264	C128	| Blocks
Benchmarks:					|
  254		672	674	559	563	| 4129
  256		668	670	556	560	| 4096
